traditional,simplified,pinyin,translation,level,numerical_pinyin,pinyin_check,exclude
愛,爱,ài,"love, like, be fond of, be keen on, cherish, be apt to",1,ai4,ài,False
愛好,爱好,àihào,"love, like, be fond of, be keen on",1,ai4 hao4,àihào,False
爸爸,爸爸,bàba,"old man, father, papa, pappa, daddy, pa, begetter, pop, dada, dad, male parent, pater, pappy, pops, poppa",1,ba4 ba,bàba,False
白,白,bái,"white, clear, pure, plain, wrongly written/mispronounced,",1,bai2,bái,False
八,八,bā,det.: eight,1,ba1,bā,False
白天,白天,báitian,"daytime, during the day, day, CL:個|个[ge4]",1,bai2 tian1,báitiān,True
班,班,bān,m.[event],1,ban1,bān,False
百,百,bǎi,"cent, centum, century, hundred, det.: hundred",1,bai3,bǎi,False
吧,吧,ba,particle: used to show mild imperative or uncertainty,1,ba1,bā,True
半,半,bàn,det.: half,1,ban4,bàn,False
半年,半年,bànnián,half a year,1,ban4 nian2,bànnián,False
半天,半天,bàntiān,"half of the day, a long time, quite a while, midair, CL:個|个[ge4]",1,ban4 tian1,bàntiān,False
幫,帮,bāng,help,1,bang1,bāng,False
幫忙,帮忙,bāng máng,"assist, aid, smile, lend a hand, do a favour, help, oblige, give a hand, do favor, do a good turn",1,bang1 mang2,bāngmáng,False
包,包,bāo,"wrap, surround, encircle, envelop, include, contain, undertake the whole thing, assure, guarantee",1,bao1,bāo,False
包子,包子,bāozi,"steamed stuffed bun, CL:個|个[ge4]",1,bao1 zi,bāozi,False
杯,杯,bēi,m.[container],1,bei1,bēi,False
杯子,杯子,bēizi,"tumbler, drinking glass, cup, glass",1,bei1 zi,bēizi,False
北邊,北边,běibian,"north, north side, northern part, to the north of",1,bei3 bian1,běibiān,True
本,本,běn,det.: this,1,ben3,běn,False
北京,北京,Běijīng,"capital of Red China, Beijing, Peking, Beijing (Peking), Peiping",1,bei3 jing1,běijīng,False
北,北,běi,"atomic number 97, northward, north, berkelium, Bk, northern",1,bei3,běi,False
本子,本子,běnzi,"book, notebook, edition, CL:本[ben3]",1,ben3 zi,běnzi,False
別,别,bié,don't,1,bie2,bié,False
別的,别的,biéde,"else, other",1,bie2 de,biéde,False
別人,别人,biéren,"others, other people, another person",1,bie2 ren,biéren,False
病,病,bìng,disease,1,bing4,bìng,False
病人,病人,bìngrén,"shut-in, patient, subject, sufferer, case, valetudinarian, invalid",1,bing4 ren2,bìngrén,False
比,比,bǐ,compared with,1,bi3,bǐ,False
不大,不大,bùdà,"not very/too, not often",1,bu4 da4,bù dà,False
